Name,Affiliation,Interests,Cited By,Profile URL
Jayaraj Joseph,"Associate Professor, Dept. of Electrical Engineering, IIT Madras","Healthcare technology, Biomedical instrumentation, Vascular ageing, Cuffless blood pressure, IVD",4063,https://scholar.google.com/citations?hl=en&user=jkACmbEAAAAJ
Bhyrappa P,"Professor of Chemistry, Indian Institute of Technology Madras, Chennai, India","Bioinorganic, Supramolecular and Materials Chemistry, Perovskite and Dye-Sensitized Solar Cells",3997,https://scholar.google.com/citations?hl=en&user=jlJ82fcAAAAJ
Palanisamy Shanmugam,"Professor of Ocean Engineering, Indian Institute of Technology Madras","Ocean optics and Imaging, Satellite Oceanography",3953,https://scholar.google.com/citations?hl=en&user=uJdn1rMAAAAJ
PB Sunil Kumar,"Professor, Department of Physics, Indian Institute of Technology Madras","Soft Condensed matter, Biological Physics",3928,https://scholar.google.com/citations?hl=en&user=Zi9SWo8AAAAJ
Nandita DasGupta,"Professor, IIT Madras",Semiconductor Devices,3916,https://scholar.google.com/citations?hl=en&user=0OnkLi4AAAAJ
Ravinder David Koilpillai,IIT Madras,"Wireless Communications, 5G, DSP techniques in Communications, Optical Communictions",3902,https://scholar.google.com/citations?hl=en&user=xFTI3oYAAAAJ
Murty Bhallamudi,Professor of IIT Madras,"Hydraulic Engineering, Water Resources, Environmental Engineering",3886,https://scholar.google.com/citations?hl=en&user=N_lqsRgAAAAJ
Manu Jaiswal,Professor at Indian Institute of Technology Madras,"Experimental Condensed Matter Physics, Graphene & 2D systems, Transport Phenomena, Flexible Electronics, Confined water",3872,https://scholar.google.com/citations?hl=en&user=NwWOOHgAAAAJ
Prof. Ravi Kumar NV,Indian Institute of Technology Madras,"Processing and characterization of ceramic …, ceramics from molecular precursors, structural and functional applications",3868,https://scholar.google.com/citations?hl=en&user=FgCkem8AAAAJ
Sannasiraj SA,"Professor of Ocean Engineering, Indian Institute of Technology Madras","Ocean engineering, coastal engineering, wave hydrodynamics, breakwaters, Climate change",3829,https://scholar.google.com/citations?hl=en&user=_xUK9iMAAAAJ
Pawan Labhasetwar,"Professor of Practice, Department of Civil Engineering, IIT Madras, Chennai 600036, India","water safety, water treatment, water quality monitoring and surveillance, water resources management",3816,https://scholar.google.com/citations?hl=en&user=mzJdAlkAAAAJ
Dhamodharan,"Professor of Chemistry, Indian Institute of Technology Madras",Polymer Chemistry,3783,https://scholar.google.com/citations?hl=en&user=9GL5l00AAAAJ
Balasubramanian M,"Professor of Metallurgical & Materials Engineering, IIT Madras",Ceramics and Composites,3783,https://scholar.google.com/citations?hl=en&user=6TdvkLkAAAAJ
"Debashis Chakraborty, Dr.rer.nat., AFIChemE, FIAAM, FSFRC, FICS, MIScT, CSci","Professor, Department of Chemistry, Indian Institute of Technology Madras","Organometallic Chemistry, Homogeneous Catalysis, Inorganic Synthesis",3758,https://scholar.google.com/citations?hl=en&user=Ew4eclUAAAAJ
Rupashree Baral,"Professor (HR&OB), Department of Management Studies, IIT Madras, India","Work-Family Interface, Socially Responsible Behavior and …, Women in Management, Leadership and Entrepren",3747,https://scholar.google.com/citations?hl=en&user=eirhKpUAAAAJ
Gopalakrishnan Srinivasan,Assistant Professor at IIT Madras,"RISC-V SoC, AI Accelerator Architectures, Deep Learning, Spiking Neural Networks",3746,https://scholar.google.com/citations?hl=en&user=ynJrDpAAAAAJ
Prof. Shankar Krishnapillai,Indian Institute of Technology Madras,"Vibrations, Dynamics, Optimization, Machine design",3728,https://scholar.google.com/citations?hl=en&user=S239vaEAAAAJ
Radhakrishna G Pillai,"Professor, Dept. of Civil Engineering, IIT Madras, Chennai, India","Concrete, durability, corrosion, repair, service life",3727,https://scholar.google.com/citations?hl=en&user=x8cgSOkAAAAJ
Meiyappan Lakshmanan,"Assistant Professor, Indian Institute of Technology Madras","Biotherapeutics manufacturing, Bioprocessing data analytics, Mammalian cell line development",3719,https://scholar.google.com/citations?hl=en&user=FrZ4LXAAAAAJ
Rajagopal Karpurapu,Indian Institute of Technology Madras,geotechnical engineering,3717,https://scholar.google.com/citations?hl=en&user=VNw8hAMAAAAJ
sanjib senapati,"Department of Biotechnology, IIT Madras",Computational Biophysics,3693,https://scholar.google.com/citations?hl=en&user=cHTZ_tYAAAAJ
Abhijit P Deshpande,"Professor of Chemical Engineering, Indian Institute of Technology Madras, Chennai; 91-44 …","gelation and rheology, ionic polymer membranes, polymers and composite materials",3665,https://scholar.google.com/citations?hl=en&user=4jX1YIoAAAAJ
Anand Krishnasamy,"Professor, Indian Institute of Technology Madras","Surrogate Model Development for Automotive …, Advanced Diesel Combustion Modes, Alternative Fuel",3637,https://scholar.google.com/citations?hl=en&user=UOTSfegAAAAJ
