Name,Affiliation,Interests,Cited By,Profile URL,h-index,i10-index,vector_id
Neha Jain,"Associate Professor, Department of Bioscience and Bioengineering, IIT Jodhpur","Amyloids, biofilms, neurodegenrative diseases",1916,https://scholar.google.com/citations?hl=en&user=UOH8knYAAAAJ,21,28,interest_26
Pradip Kumar Tewari,"JJM Professor Chair Department of Chemical Engineering, Indian Institute of Technology …","Chemical Engineering, Water, Energy, Environment, Green Hydrgen",1773,https://scholar.google.com/citations?hl=en&user=4-RBztcAAAAJ,24,48,interest_27
Krunal M Gangawane,"Assistant Professor, Department of Chemical Engineering, Indian Institute of Technology …","Thermal Lattice Boltzmann Method, CFD, Heat Transfer in enclosures",1706,https://scholar.google.com/citations?hl=en&user=7fWxeQEAAAAJ,25,43,interest_28
Meenu Chhabra,"Professor, IITJ",Environmental Biotechnology & …,1662,https://scholar.google.com/citations?hl=en&user=0OO1bSUAAAAJ,23,32,interest_29
Sumit Parvate,Assistant Professor at IIT Jodhpur,"Polymer Science, Colloids & Interfaces, Microfluidics, Radiative Cooling, Surface Coatings",1659,https://scholar.google.com/citations?hl=en&user=UafZK74AAAAJ,14,15,interest_30
Anil Kumar Tiwari,"Professor, Electrical Engineering, IIT Jodhpur",Image and video coding,1607,https://scholar.google.com/citations?hl=en&user=a3EQM3oAAAAJ,21,45,interest_31
Dr. Aashish Mathur,"Associate Professor, IIT Jodhpur","FSO, VLC, Physical Layer Security, 5G and Beyond",1573,https://scholar.google.com/citations?hl=en&user=AjE-ULUAAAAJ,20,38,interest_32
Monika Gupta,"Assistant Professor (Chemistry), Indian Institute of Technology Jodhpur","Liquid crystals, Functional organic materials, Supramolecular chemistry",1442,https://scholar.google.com/citations?hl=en&user=2kU_xqAAAAAJ,20,28,interest_33
Suraj Srivastava,"Assistant Professor, Indian Institute of Technology Jodhpur | IIT Kanpur",Wireless Communication and Signal …,1430,https://scholar.google.com/citations?hl=en&user=xgh3oagAAAAJ,22,40,interest_34
Kunwar Aditya,"Associate Professor, IIT Jodhpur","Wireless Power Transfer, Power Electronics, Electric Vehicles",1326,https://scholar.google.com/citations?hl=en&user=bTk_LCkAAAAJ,15,21,interest_35
soumava mukherjee,"Associate Professor, IIT Jodhpur",microwave antennas,1325,https://scholar.google.com/citations?hl=en&user=tF1naGQAAAAJ,16,30,interest_36
Anusha S. Basavaraj,"Assistant Professor, Department of Civil and Infrastructure Enginnering, IIT Jodhpur","Life cycle assessment, Sustainability, Waste Utilization in Construction, Alternative Construction",1325,https://scholar.google.com/citations?hl=en&user=75ymTscAAAAJ,11,11,interest_37
Kamaljit  Rangra,"Visiting Professor, Electrical Engineering, IIT Jodhpur, Former Chief Scientist  CSIR-CEERI …","RF MEMS, Intertial Sensors and analytical …",1275,https://scholar.google.com/citations?hl=en&user=-83qdHoAAAAJ,18,34,interest_38
Suresh Sarkar,"Assistant professor of chemistry, IIT Jodhpur","Nanomaterials, NIR-Quantum dots, Spectroscopy, Surface Chemistry, Shape control",1252,https://scholar.google.com/citations?hl=en&user=8yp5REYAAAAJ,23,27,interest_39
Yogeshwar Nath Mishra,"Assistant Professor, Indian Institute of Technology Jodhpur","Photonics, Laser Diagnostics, Energy Technology",1118,https://scholar.google.com/citations?hl=en&user=wvhys5YAAAAJ,20,27,interest_40
