Name,Affiliation,Interests,Cited By,Profile URL
Vipul Rastogi,"Professor of Physics, Indian Institute of Technology Roorkee, India","Fiber Optics, Photonics, Optoelectronics",2389,https://scholar.google.com/citations?hl=en&user=HeEFKm4AAAAJ
Prof. MJ NIGAM,"Department of Electronics and Communication Engineering, IIT Roorkee",Communication Engineering,2360,https://scholar.google.com/citations?hl=en&user=7Fe0JBsAAAAJ
SK Gupta,"Professor, Department of Mathematics, IIT Roorkee","SVM, Optimization under uncertainty, Optimization theory",2349,https://scholar.google.com/citations?hl=en&user=GS7LEuIAAAAJ
Ameeya Kumar Nayak,"Professor, IIT Roorkee",Computational Fluid Dynamics,2345,https://scholar.google.com/citations?hl=en&user=CPBFS-wAAAAJ
Dr. Sachin Kadian,"Associate Professor, MUJ | UNC/NCSU | Purdue University | University of Alberta | IIT …","Graphene Quantum Dots, Wearable sensors, Microneedles, Biomedical and Flexible devices",2336,https://scholar.google.com/citations?hl=en&user=3EW5P_AAAAAJ
Tapas Kumar Mandal,"Associate Professor, Department of Chemistry, IIT Roorkee",Solid State & Materials Chemistry,2320,https://scholar.google.com/citations?hl=en&user=XWGxw04AAAAJ
Ramasare Prasad,"Professor Department of Biosciences and Bioengineering, Indian Institute of Technology …","Biotechnology, Molecular Biology & Proteomics",2306,https://scholar.google.com/citations?hl=en&user=hmx0FYsAAAAJ
Biplab Sarkar,"Associate Professor, IIT Roorkee",,2305,https://scholar.google.com/citations?hl=en&user=d6vQQ6UAAAAJ
Anuj Upadhyay,"Indian Institute of Technology, Roorkee",,2299,https://scholar.google.com/citations?hl=en&user=hsM5jwsAAAAJ
Dr Premalata Jena,"Professor, IIT Roorkee","Power System Protection, Smart Grid Protection",2247,https://scholar.google.com/citations?hl=en&user=0u8tLssAAAAJ
Dr. Vipin Sharma,Indian Institute of Technology Roorkee,"Friction stir welding & processing, Metal matrix composite, Tribology, Nanomaterials, Energy",2228,https://scholar.google.com/citations?hl=en&user=n7RPymEAAAAJ
Dheeraj Kumar,"Associate Professor, Department of Chemistry,  IIT Roorkee","High Energy Density Materials, Main Group Chemistry, organometallic chemistry, Inorganic Chemistry",2217,https://scholar.google.com/citations?hl=en&user=Yf57CwEAAAAJ
Vinay Pant,Department of Electrical Engineering IIT Roorkee,,2202,https://scholar.google.com/citations?hl=en&user=m9sNxXUAAAAJ
Pranita P Sarangi,"Indian Institute of Technology, Roorkee",Inflammation and Cancer Immunology,2181,https://scholar.google.com/citations?hl=en&user=g1tv1MYAAAAJ
Sonal K. Thengane,"Associate Professor, IIT Roorkee","Biochar, Torrefaction, Gasification & Pyrolysis, Waste to Energy and Hydrogen, Wastewater Treatment",2179,https://scholar.google.com/citations?hl=en&user=91FZfRoAAAAJ
Indrajit Ghosh,"Professor, Dept of Civil Engg & Joint Faculty, Mehta Family School of Data Science & AI, IIT …","AI, ML, Traffic Engineering and Safety",2172,https://scholar.google.com/citations?hl=en&user=PmRjsdUAAAAJ
Ashok D Pandey,"EQD, IITR",Engineering,2171,https://scholar.google.com/citations?hl=en&user=oCsIMk0AAAAJ
Dr. DB Jani,Indian Institute of Technology (IIT)- Roorkee,Desiccant cooling,2171,https://scholar.google.com/citations?hl=en&user=1U3_WSUAAAAJ
Himanshu Fulara,"Associate Professor, Indian Institute of Technology Roorkee","Spintronics, Nanomagnetism, Spin Hall nano devices, Spin-wave dynamics, Neuromorphic computing",2170,https://scholar.google.com/citations?hl=en&user=N0s0sMwAAAAJ
SP Singh,"Professor of Economics, IIT Roorkee","Agricultural economics, Data Envelopment Analysis, labour Economics, Development Economics",2160,https://scholar.google.com/citations?hl=en&user=GQCBVpsAAAAJ
Dwijendra Narain Pandey,"Department of Mathematics, IIT Roorkee","Differential Equation, Semigroup Theory, Control Theory, Delay Differential Equations",2144,https://scholar.google.com/citations?hl=en&user=T_a3icsAAAAJ
Kirat Pal,"Professor, Department of Earthquake Enigneering, Indian Institute of Technology Roorkee","Electronics Circuits, Instrumentation",2105,https://scholar.google.com/citations?hl=en&user=7eM0RbgAAAAJ
