Name,Affiliation,Interests,Cited By,Profile URL,h-index,i10-index
Sarit Kumar Das,"Institute Professor, IIT Madras","BioMicrofluidics, Nanofluids, Battery cooling, Multiphase flow in microsystems, Thermal hydraulics in nuclear and fuel cell …",29933,https://scholar.google.com/citations?hl=en&user=lhVJay4AAAAJ,63.0,214.0
S. Subramanian,Indian Institute of Technology Madras,Physical sicneces   Magnetic resonancne …,28568,https://scholar.google.com/citations?hl=en&user=iDTlsngAAAAJ,81.0,429.0
Balasubramanian Viswanathan,"Indian Institute of Technology, Madras",Catalysis,23232,https://scholar.google.com/citations?hl=en&user=f3U_p4QAAAAJ,78.0,314.0
M. Michael Gromiha,Indian Institute of Technology Madras,,18576,https://scholar.google.com/citations?hl=en&user=8LsqFdUAAAAJ,68.0,272.0
chandrasekharan rajendran,IIT Madras,"Production and Operations Management, Quality Management",17871,https://scholar.google.com/citations?hl=en&user=xBzpRysAAAAJ,66.0,163.0
Raghunathan Rengaswamy,"Professor of Chemical Engineering, IIT Madras",Process Systems Engineering - Fuel Cell …,16879,https://scholar.google.com/citations?hl=en&user=WOCWpzwAAAAJ,49.0,148.0
Venkatesan Subramanian,Indian Institute of Technology Madras,"Theoretical and Computational Chemistry, Biophysics of Collagen, Biomacromolecules Structure",15645,https://scholar.google.com/citations?hl=en&user=o7ttu1gAAAAJ,61.0,242.0
Ashok Kumar Mishra,"Professor of Physical Chemistry, Indian Institute of Technology-Madras","Fluorescence Spectroscopy, Excited state prototropism, Analytical Photochemistry, Chemometrics, Fiber Optics",15248,https://scholar.google.com/citations?hl=en&user=N_rqztMAAAAJ,57.0,355.0
Manu Santhanam,"Professor, IIT Madras","Cement chemistry and microstructure, concrete durability",15227,https://scholar.google.com/citations?hl=en&user=bCnS1poAAAAJ,55.0,129.0
RadhaKrishna Ganti,"Assistant Professor, IIT Madras, Chennai","Communication Systems, Cellular Networks, Stochastic geometry, Information Theory, Full-duplex radios",14854,https://scholar.google.com/citations?hl=en&user=ZKOZPcEAAAAJ,31.0,62.0
KG Pradeep,"Indian Institute of Technology Madras, Chennai","Combinatorial Alloy Design, Magnetic materials, Field ion Microscopy and Atom Probe …, Amorphous and Nanocrystalline ma",14230,https://scholar.google.com/citations?hl=en&user=oEtyMLIAAAAJ,41.0,76.0
G. Ranga Rao,"Professor of Chemistry, Indian Institute of Technology Madras","Materials Chemistry, Heterogeneous Catalysis, Solid State Electrochemistry, Energy storage and",13324,https://scholar.google.com/citations?hl=en&user=tHlEUtoAAAAJ,57.0,161.0
Reddy KS,"Professor, Department of Mechanical Engineering, IIT Madras","Solar Energy, Energy & Environment, Heat Transfer",13314,https://scholar.google.com/citations?hl=en&user=PwkbWWAAAAAJ,63.0,184.0
Rajnish Kumar,"Professor, Department of Chemical Engineering; Indian Institute of Technology Madras","CO2 Capture & Sequestration, Direct Air Capture, Gas Hydrates, Water Purification, Hydrogen Storage",13117,https://scholar.google.com/citations?hl=en&user=P21tbTMAAAAJ,59.0,123.0
Tanmay Basak,"Professor, Chemical Engineering, Indian Insttitute of Technology Madras","Computational Thermo-Fluids, Convection-Energy Flow, Convection-Bifurcation, Finite Element, Microwave-Thermal Transport",12866,https://scholar.google.com/citations?hl=en&user=eFEoz98AAAAJ,54.0,196.0
Ganapathy Krishnamurthi,Professor at IIT-Madras,medical imaging,12660,https://scholar.google.com/citations?hl=en&user=TXjlCH4AAAAJ,33.0,52.0
Aravind Kumar Chandiran,"Associate Prof. - Chem. Engg., Head - Hyundai HTWO Innovation Centre - A CoE in …","Green Hydrogen, Water splitting, Photovoltaics, Photoelectrochemistry, Solar energy",12541,https://scholar.google.com/citations?hl=en&user=D18I3fcAAAAJ,27.0,42.0
KP SUDHEER,Indian Institute of Technology Madras,"Hydrologic Modeling, Predictions in Ungauged Basins, Soft computing applications to thydrology",12314,https://scholar.google.com/citations?hl=en&user=4Su88eYAAAAJ,51.0,121.0
Ramesh L. Gardas,"Professor, Indian Institute of Technology Madras","Chemical Sciences, Physical Chemistry, Ionic Liquids, Thermodynamics, Sustainability",12012,https://scholar.google.com/citations?hl=en&user=XMS4hv0AAAAJ,56.0,201.0
Sundararajan Natarajan,"Department of Mechanical Engineering, Indian Institute of Technology-Madras","Computational Mechanics, moving boundary problems, multi-physics problems",11509,https://scholar.google.com/citations?hl=en&user=-JHtQpIAAAAJ,56.0,204.0
Ligy Philip,Indian Institute of Technology Madras,"Water and wastewater treatment, Reuse and recycle, Emerging contaminat removal, sanitation",11436,https://scholar.google.com/citations?hl=en&user=sDQxkIAAAAAJ,57.0,165.0
Krishnan Balasubramaniam,Indian Institute of Technology,"Non-destructive Evaluation, NDT, NDE, QNDE, Ultrasonics",11122,https://scholar.google.com/citations?hl=en&user=yYFBxAwAAAAJ,57.0,245.0
Krishna Moorthy Sivalingam,"Professor, Indian Institute of Technology Madras",Computer Networks,11121,https://scholar.google.com/citations?hl=en&user=mn54pyMAAAAJ,44.0,129.0
Jitendra Sangwai,"Fellow, INAE, NASc & Professor, Chemical Engineering, IIT Madras; Associate Editor …","Petroleum Engineering, Natural Gas Engineering, CCUS, Environmental Engineering, Nanotechnology",11010,https://scholar.google.com/citations?hl=en&user=pO3TYREAAAAJ,59.0,184.0
"K.Ramamurthy, Ph.D.,","Building Tech.& Const. Mgt Div., Dept. of Civil Engg., IIT Madras, Chennai, India","Foam concrete, Aerated concrete, Light weight aggregate concrete, Sustainable Building Technology",10956,https://scholar.google.com/citations?hl=en&user=FHVpuHsAAAAJ,47.0,74.0
Dr. R. JAYAGANTHAN,"Professor, Department of Engineering Design, IIT Madras","Additive Manufacturing, Fatigue & Fracture Mechanics, Impact Mechanics, FEA, Machine Learning Based Life Time Prediction …",10951,https://scholar.google.com/citations?hl=en&user=7tJDBfAAAAAJ,58.0,228.0
Dr TS Sampath Kumar,"Professor Emeritus, Medical Materials Laboratory, Indian Institute of Technology Madras","Nanostructured biomaterials, antimicrobial ceramics and delivery systems, injectable bone cements and value added …",10820,https://scholar.google.com/citations?hl=en&user=TiNVPS4AAAAJ,53.0,159.0
Aamod V. Desai,IIT Madras,"Metal-Organic Frameworks, Porous Materials, Sustainable Chemistry",10735,https://scholar.google.com/citations?hl=en&user=DD3gTy4AAAAJ,44.0,71.0
Sujith RI,Indian Institute of Technology Madras,"Thermoacoustic instability, Complex systems theory",10638,https://scholar.google.com/citations?hl=en&user=ChR5YpEAAAAJ,54.0,185.0
Ravindra Gettu,IIT Madras,Civil Engineering,10518,https://scholar.google.com/citations?hl=en&user=Q-uy3fUAAAAJ,47.0,136.0
Vinu Ravikrishnan,"Professor, Chemical Engineering, Indian Institute of Technology Madras, India","Thermochemical technologies, biomass conversion, waste plastics and solid wastes to fuels and …",10134,https://scholar.google.com/citations?hl=en&user=gAIc9hEAAAAJ,57.0,145.0
A Jayakrishnan,"Former Professor, Department of Biotechnology, Indian Institute of Technology Madras …","Biomaterials, Drug Delivery, Polymers",10087,https://scholar.google.com/citations?hl=en&user=a8Fqx7MAAAAJ,49.0,97.0
AN Rajagopalan,Indian Institute of Technology Madras,Image Processing and Computer Vision,9801,https://scholar.google.com/citations?hl=en&user=jXTZEw4AAAAJ,51.0,136.0
