Name,Affiliation,Interests,Cited By,Profile URL,h-index,i10-index
Dr. Selvaraju Narayanasamy,"Associate Professor, Department of Biosciences & Bioengineering, IIT Guwahati","Biosorption, Bioremediation, Biological Wastewater Treatment, Air Pollution, Microfluidics",7179,https://scholar.google.com/citations?hl=en&user=cICz1ukAAAAJ,47,109
Dr. Dipesh kumar,"School of Energy Science and Engineering, Indian Institute of Technology Guwahati","Biomass and Bioenergy, Biomass Conversion, Environment and Development, Sustainability",7167,https://scholar.google.com/citations?hl=en&user=XBXWLQUAAAAJ,30,182
Rajiv Tiwari,"Department of Mechanical Engineering, Indian Institute of Technology Guwahati","Rotor dynamics, Active magnetic bearings, Automation in condition monitoring, Design of rolling element bearings for …",7023,https://scholar.google.com/citations?hl=en&user=6brtIN0AAAAJ,45,118
Pranab Goswami,Indian Institute of Technology Guwahati,"Biosensors, biocatalysis, enzyme, biofuel cell",6831,https://scholar.google.com/citations?hl=en&user=YV5TfOkAAAAJ,46,93
Bishnupada Mandal,"Professor, Department of Chemical Engineering, Indian Institute of Technology Guwahati","Mass transfer, Gas separation: membranes, Absorption, Adsorption, Fuel Cell",6694,https://scholar.google.com/citations?hl=en&user=2zTissgAAAAJ,46,104
Sachin Kumar,Indian Institute of Technology Guwahati,Virology and vaccine development,6654,https://scholar.google.com/citations?hl=en&user=Vxli3mMAAAAJ,39,139
Subhankar Ghosh,Indian Institute of Technology,"Computer Vision, Machine Learning, Artificial Intelligence",6644,https://scholar.google.com/citations?hl=en&user=eMvnl_4AAAAJ,37,161
Praveen Kumar,"Professor of Electronics and Electrical Engineering, IIT Guwahati","Electrical machinery, Electric Vehicles, Intelligent Transportation, Grid 2 Vehicle, Smart Grid",6554,https://scholar.google.com/citations?hl=en&user=fc3JOMkAAAAJ,35,99
Niranjan Sahoo,"Professor in Mechanical Engineering, IIT Guwahati","Aerodynamics, Gas Dynamics, IC Engines",6511,https://scholar.google.com/citations?hl=en&user=u1AGvJsAAAAJ,38,150
Santosha K  Dwivedy,INDIAN INSTITUTE OF TECHNOLOGY GUWAHATI,"vibration, robotics, biomechanics",6393,https://scholar.google.com/citations?hl=en&user=LNTnKtQAAAAJ,36,110
uday narayan maiti,Associate Professor IIT Guwahati,"2-dimensional materials, graphene, MoS2, WS2, Inorganic nanostructures",6084,https://scholar.google.com/citations?hl=en&user=9OrWTlcAAAAJ,36,68
Arup Kumar Sarma,"Professor of Civil Engineering, Indian Institute of Technology Guwahati","Modelling and Simulation in Free Surface …, Heuristic Method in Optimization, Watershed Management",5870,https://scholar.google.com/citations?hl=en&user=_dUoFfkAAAAJ,30,159
debasish borah,"Associate Professor, Department of Physics, Indian Institute of Technology Guwahati",High Energy Physics,5537,https://scholar.google.com/citations?hl=en&user=wkFh0SEAAAAJ,42,135
Sreedeep Sekharan,Indian Institute of Technology Guwahati,Geotechnical and Geoenvironmental …,5529,https://scholar.google.com/citations?hl=en&user=EZZIFm4AAAAJ,39,126
Amarendra Kumar Das,"Professor, Department of Design, IIT Guwahati","Product Design, Rapid Prototyping and Tooling/ 3D Printing, Facility Design, Transportation Design, Appropriate Technology",5514,https://scholar.google.com/citations?hl=en&user=hDyxuSUAAAAJ,32,145
Bibhas Ranjan Majhi,Indian Institute of Technology Guwahati,General theory of Relativity and Black holes,5489,https://scholar.google.com/citations?hl=en&user=17BpQ8UAAAAJ,36,86
MK Bhuyan,"Professor (HAG), Department of EEE & Professor, Data Science & Artificial Intelligence, IIT …","Machine Learning and Deep Learning, Artificial Intelligence, Computer Vision, Image/Video Processing",5220,https://scholar.google.com/citations?hl=en&user=o4yGgBQAAAAJ,36,145
Kalyan Raidongia,Indian Institute of Technology Guwahati,,5205,https://scholar.google.com/citations?hl=en&user=JlmilbMAAAAJ,27,49
Samarendra Dandapat,"Professor, IIT Guwahati",Biomedical Signal and Image Processing,5194,https://scholar.google.com/citations?hl=en&user=73vpIHcAAAAJ,36,111
Subhaditya Bhattacharya,"Professor of Physics, IIT Guwahati",Particle Physics theory and phenomenology,4962,https://scholar.google.com/citations?hl=en&user=40k2OYMAAAAJ,42,89
Pranab Kumar Mondal,"Associate Professor, Mechanical Engineering Department, IIT Guwahati","Microfluidics, Phytofluidics",4757,https://scholar.google.com/citations?hl=en&user=5iCALrwAAAAJ,41,133
Dr. Sagar Bhattarai,"Solar Scientist, Indian Institute of Technology, Guwahati, Assam","Solar Cells, DFT, Renewable Energy, Perovskite, Condensed Matter Physics",4618,https://scholar.google.com/citations?hl=en&user=1Y2FB0wAAAAJ,36,82
Seraj Ahmad,"Student of Biotechnology, IIT Guwahati","Protein Biochemistry, Biosensor",4617,https://scholar.google.com/citations?hl=en&user=eGmUyEkAAAAJ,27,49
Dr Animes Kumar Golder,Department of Chemical Engineering • Indian Institute of Technology Guwahati,"Photocatalysis and nanoparticles, Sensor development, Electro-and bio-remediation, AOPs, Physiochemical treatments",4532,https://scholar.google.com/citations?hl=en&user=6VCZydkAAAAJ,33,92
"Uttam Manna, Professor","Chemistry Department and Centre for Nanotechnology, Indian Institute of Technology …","Materials for Functional Liquid Wettability, Liquid/Liquid Separation, Patterned Interfaces",4474,https://scholar.google.com/citations?hl=en&user=BFibZp8AAAAJ,34,98
